id;name;price;description;quantity;url_image
1;damaged;24575.14;../fake-data/blob/hipster.txt;20630;../fake-data/blob/hipster.txt
2;thrash blah;2672.24;../fake-data/blob/hipster.txt;13515;../fake-data/blob/hipster.txt
3;grouse;6086.46;../fake-data/blob/hipster.txt;1215;../fake-data/blob/hipster.txt
4;hungry lest past;29359.7;../fake-data/blob/hipster.txt;6033;../fake-data/blob/hipster.txt
5;harvest;14220.78;../fake-data/blob/hipster.txt;21404;../fake-data/blob/hipster.txt
6;than ick dirndl;28986.53;../fake-data/blob/hipster.txt;18617;../fake-data/blob/hipster.txt
7;hence;24990.81;../fake-data/blob/hipster.txt;10331;../fake-data/blob/hipster.txt
8;provided;16165.89;../fake-data/blob/hipster.txt;15706;../fake-data/blob/hipster.txt
9;tempting apropos;14814.87;../fake-data/blob/hipster.txt;24096;../fake-data/blob/hipster.txt
10;beside whoop;17951.86;../fake-data/blob/hipster.txt;20703;../fake-data/blob/hipster.txt
